filename	method	genomes	kmers	bytes	compr_lines
recompressed_00000350.bz2	bz2	350	89321	323846	350
recompressed_00000350.gz	gz	350	89321	107917	350
recompressed_00000350.repair	repair	350	89321	73216	350
recompressed_00000350.xz	xz	350	89321	23684	350
recompressed_00000400.bz2	bz2	400	95031	372940	400
recompressed_00000400.gz	gz	400	95031	121957	400
recompressed_00000400.repair	repair	400	95031	80384	400
recompressed_00000400.xz	xz	400	95031	25776	400
recompressed_00000450.bz2	bz2	450	101103	413186	450
recompressed_00000450.gz	gz	450	101103	135963	450
recompressed_00000450.repair	repair	450	101103	87552	450
recompressed_00000450.xz	xz	450	101103	27948	450
recompressed_00000500.bz2	bz2	500	106466	458021	500
recompressed_00000500.gz	gz	500	106466	149181	500
recompressed_00000500.repair	repair	500	106466	92672	500
recompressed_00000500.xz	xz	500	106466	29892	500
recompressed_00000550.bz2	bz2	550	111180	506449	550
recompressed_00000550.gz	gz	550	111180	162613	550
recompressed_00000550.repair	repair	550	111180	97792	550
recompressed_00000550.xz	xz	550	111180	31764	550
recompressed_00000600.bz2	bz2	600	115371	548042	600
recompressed_00000600.gz	gz	600	115371	175968	600
recompressed_00000600.repair	repair	600	115371	102400	600
recompressed_00000600.xz	xz	600	115371	33808	600
recompressed_00000650.bz2	bz2	650	119005	589976	650
recompressed_00000650.gz	gz	650	119005	188779	650
recompressed_00000650.repair	repair	650	119005	107008	650
recompressed_00000650.xz	xz	650	119005	35428	650
recompressed_00000700.bz2	bz2	700	123710	638149	700
recompressed_00000700.gz	gz	700	123710	202311	700
recompressed_00000700.repair	repair	700	123710	112128	700
recompressed_00000700.xz	xz	700	123710	37384	700
recompressed_00000750.bz2	bz2	750	128106	682989	750
recompressed_00000750.gz	gz	750	128106	215945	750
recompressed_00000750.repair	repair	750	128106	117248	750
recompressed_00000750.xz	xz	750	128106	39496	750
recompressed_00000800.bz2	bz2	800	131861	722596	800
recompressed_00000800.gz	gz	800	131861	229238	800
recompressed_00000800.repair	repair	800	131861	122368	800
recompressed_00000800.xz	xz	800	131861	41284	800
recompressed_00000850.bz2	bz2	850	136462	771883	850
recompressed_00000850.gz	gz	850	136462	242606	850
recompressed_00000850.repair	repair	850	136462	126976	850
recompressed_00000850.xz	xz	850	136462	43188	850
recompressed_00000900.bz2	bz2	900	140446	815936	900
recompressed_00000900.gz	gz	900	140446	255391	900
recompressed_00000900.repair	repair	900	140446	131584	900
recompressed_00000900.xz	xz	900	140446	45044	900
recompressed_00000950.bz2	bz2	950	143998	854243	950
recompressed_00000950.gz	gz	950	143998	268334	950
recompressed_00000950.repair	repair	950	143998	135680	950
recompressed_00000950.xz	xz	950	143998	46744	950
recompressed_00001000.bz2	bz2	1000	147590	903895	1000
recompressed_00001000.gz	gz	1000	147590	282043	1000
recompressed_00001000.repair	repair	1000	147590	140288	1000
recompressed_00001000.xz	xz	1000	147590	48704	1000
recompressed_00001050.bz2	bz2	1050	151515	949965	1050
recompressed_00001050.gz	gz	1050	151515	295045	1050
recompressed_00001050.repair	repair	1050	151515	144896	1050
recompressed_00001050.xz	xz	1050	151515	50616	1050
recompressed_00001100.bz2	bz2	1100	154725	988052	1100
recompressed_00001100.gz	gz	1100	154725	308305	1100
recompressed_00001100.repair	repair	1100	154725	148992	1100
recompressed_00001100.xz	xz	1100	154725	52312	1100
recompressed_00001150.bz2	bz2	1150	157229	1035670	1150
recompressed_00001150.gz	gz	1150	157229	321037	1150
recompressed_00001150.repair	repair	1150	157229	152576	1150
recompressed_00001150.xz	xz	1150	157229	54060	1150
recompressed_00001200.bz2	bz2	1200	160508	1082340	1200
recompressed_00001200.gz	gz	1200	160508	333798	1200
recompressed_00001200.repair	repair	1200	160508	156160	1200
recompressed_00001200.xz	xz	1200	160508	55928	1200
recompressed_00001250.bz2	bz2	1250	163964	1117929	1250
recompressed_00001250.gz	gz	1250	163964	346962	1250
recompressed_00001250.repair	repair	1250	163964	160768	1250
recompressed_00001250.xz	xz	1250	163964	57804	1250
recompressed_00001300.bz2	bz2	1300	166978	1167810	1300
recompressed_00001300.gz	gz	1300	166978	360037	1300
recompressed_00001300.repair	repair	1300	166978	164864	1300
recompressed_00001300.xz	xz	1300	166978	59620	1300
recompressed_00001350.bz2	bz2	1350	169330	1215466	1350
recompressed_00001350.gz	gz	1350	169330	372780	1350
recompressed_00001350.repair	repair	1350	169330	167424	1350
recompressed_00001350.xz	xz	1350	169330	61264	1350
recompressed_00001400.bz2	bz2	1400	172073	1250751	1400
recompressed_00001400.gz	gz	1400	172073	385188	1400
recompressed_00001400.repair	repair	1400	172073	171008	1400
recompressed_00001400.xz	xz	1400	172073	62768	1400
recompressed_00001450.bz2	bz2	1450	175212	1298181	1450
recompressed_00001450.gz	gz	1450	175212	398250	1450
recompressed_00001450.repair	repair	1450	175212	175104	1450
recompressed_00001450.xz	xz	1450	175212	64496	1450
recompressed_00001500.bz2	bz2	1500	178375	1348844	1500
recompressed_00001500.gz	gz	1500	178375	411307	1500
recompressed_00001500.repair	repair	1500	178375	178176	1500
recompressed_00001500.xz	xz	1500	178375	66368	1500
recompressed_00001550.bz2	bz2	1550	181774	1383983	1550
recompressed_00001550.gz	gz	1550	181774	424850	1550
recompressed_00001550.repair	repair	1550	181774	182784	1550
recompressed_00001550.xz	xz	1550	181774	68556	1550
recompressed_00001600.bz2	bz2	1600	185358	1431887	1600
recompressed_00001600.gz	gz	1600	185358	438220	1600
recompressed_00001600.repair	repair	1600	185358	187904	1600
recompressed_00001600.xz	xz	1600	185358	70420	1600
recompressed_00001650.bz2	bz2	1650	188125	1481825	1650
recompressed_00001650.gz	gz	1650	188125	451219	1650
